current_id,name,reaction_string,subsystem,lower_bound,upper_bound,suggested_new_id
rxn00693,B12-dependent methionine synthase,cpd00135[c0] + cpd00345[c0] <=> cpd00060[c0] + cpd00087[c0],,-1000.0,1000.0,
rxn00770,Ribose-phosphate pyrophosphokinase,cpd00002[c0] + cpd00101[c0] <=> cpd00018[c0] + cpd00067[c0] + cpd00103[c0],,-1000.0,1000.0,
rxn00789,ATP phosphoribosyltransferase,cpd00002[c0] + cpd00103[c0] --> cpd00012[c0] + cpd01775[c0],,0.0,1000.0,
rxn02834,Phosphoribosyl-ATP pyrophosphatase,cpd00001[c0] + cpd01775[c0] --> cpd00012[c0] + cpd00067[c0] + cpd01777[c0],,0.0,1000.0,
rxn02835,Phosphoribosyl-AMP cyclohydrolase,cpd00001[c0] + cpd01777[c0] <=> cpd02979[c0],,-1000.0,1000.0,
rxn03175,Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase,cpd02979[c0] <=> cpd02991[c0],,-1000.0,1000.0,
rxn03135,imidazole glycerol phosphate,cpd00053[c0] + cpd02991[c0] --> cpd00023[c0] + cpd00067[c0] + cpd02843[c0] + cpd02851[c0],,0.0,1000.0,
rxn02473,Imidazoleglycerol-phosphate dehydratase,cpd02843[c0] --> cpd00001[c0] + cpd00930[c0],,0.0,1000.0,
rxn02320,Histidinol-phosphate aminotransferase,cpd00024[c0] + cpd00807[c0] <=> cpd00023[c0] + cpd00930[c0],,-1000.0,1000.0,
rxn02160,L-Histidinol-phosphate phosphohydrolase,cpd00001[c0] + cpd00807[c0] --> cpd00009[c0] + cpd00641[c0],,0.0,1000.0,
rxn02159,Histidinol dehydrogenase,cpd00003[c0] + cpd00641[c0] <=> cpd00004[c0] + cpd00067[c0] + cpd01324[c0],,-1000.0,1000.0,
rxn00863,Histidinal dehydrogenase,cpd00001[c0] + cpd00003[c0] + cpd01324[c0] --> cpd00004[c0] + 2.0 cpd00067[c0] + cpd00119[c0],,0.0,1000.0,
rxn01332,DAHP synthetase,cpd00001[c0] + cpd00061[c0] + cpd00236[c0] --> cpd00009[c0] + cpd02857[c0],,0.0,1000.0,
rxn02212,3-dehydroquinate synthase,cpd02857[c0] --> cpd00009[c0] + cpd00699[c0],,0.0,1000.0,
rxn02213,3-dehydroquinate dehydratase,cpd00699[c0] --> cpd00001[c0] + cpd01716[c0],,0.0,1000.0,
rxn01740,Shikimate 5-dehydrogenase,cpd00006[c0] + cpd00383[c0] <=> cpd00005[c0] + cpd00067[c0] + cpd01716[c0],,-1000.0,1000.0,
rxn01739,Shikimate kinase,cpd00002[c0] + cpd00383[c0] <=> cpd00008[c0] + cpd00067[c0] + cpd02030[c0],,-1000.0,1000.0,
rxn02476,3-phosphoshikimate 1-carboxyvinyltransferase,cpd00061[c0] + cpd02030[c0] <=> cpd00009[c0] + cpd00932[c0],,-1000.0,1000.0,
rxn01255,Chorismate synthase,cpd00932[c0] --> cpd00009[c0] + cpd00216[c0],,0.0,1000.0,
rxn00726,Anthranilate synthase,cpd00013[c0] + cpd00216[c0] --> cpd00001[c0] + cpd00020[c0] + cpd00067[c0] + cpd00093[c0],,0.0,1000.0,
rxn00791,Anthranilate phosphoribosyltransferase,cpd00093[c0] + cpd00103[c0] --> cpd00012[c0] + cpd02642[c0],,0.0,1000.0,
rxn02508,Phosphoribosylanthranilate isomerase,cpd02642[c0] <=> cpd00956[c0],,-1000.0,1000.0,
rxn02507,Indole-3-glycerol phosphate synthase,cpd00067[c0] + cpd00956[c0] --> cpd00001[c0] + cpd00011[c0] + cpd02210[c0],,0.0,1000.0,
rxn01964,L-serine hydrolase,cpd00054[c0] + cpd02210[c0] --> cpd00001[c0] + cpd00065[c0] + cpd00102[c0],,0.0,1000.0,
rxn01256,Chorismate pyruvatemutase,cpd00216[c0] --> cpd00219[c0],,0.0,1000.0,
rxn01000,Prephenate dehydratase,cpd00067[c0] + cpd00219[c0] --> cpd00001[c0] + cpd00011[c0] + cpd00143[c0],,0.0,1000.0,
rxn00493,Phenylalanine transaminase,cpd00024[c0] + cpd00066[c0] <=> cpd00023[c0] + cpd00143[c0],,-1000.0,1000.0,
rxn01269,Prephenate dehydrogenase,cpd00006[c0] + cpd00219[c0] --> cpd00005[c0] + cpd00011[c0] + cpd00868[c0],,0.0,1000.0,
rxn00527,Tyrosine transaminase,cpd00024[c0] + cpd00069[c0] <=> cpd00023[c0] + cpd00868[c0],,-1000.0,1000.0,
rxn05036,Prephenate transaminase,cpd00024[c0] + cpd00616[c0] <=> cpd00023[c0] + cpd00219[c0],,-1000.0,1000.0,
rxn00525,L-argonate oxioreductase,cpd00003[c0] + cpd00616[c0] --> cpd00004[c0] + cpd00011[c0] + cpd00069[c0],,0.0,1000.0,
rxn00278,Alanine dehydrogenase,cpd00001[c0] + cpd00003[c0] + cpd00035[c0] <=> cpd00004[c0] + cpd00013[c0] + cpd00020[c0] + cpd00067[c0],,-1000.0,1000.0,
rxn00849,D-alanine transaminase,cpd00024[c0] + cpd00117[c0] <=> cpd00020[c0] + cpd00186[c0],,-1000.0,1000.0,
rxn00283,L-alanine racemase,cpd00035[c0] <=> cpd00117[c0],,-1000.0,1000.0,
rxn00737,Threonine dehydratase,cpd00161[c0] --> cpd00013[c0] + cpd00094[c0],,0.0,1000.0,
rxn02302,O-Acetyl-L-homoserine succinate-lyase,cpd00001[c0] + cpd00822[c0] --> cpd00013[c0] + cpd00036[c0] + cpd00067[c0] + cpd00094[c0],,0.0,1000.0,
rxn03194,(S)-2-aceto-2-hydroxybutanoate synthase,cpd00094[c0] + cpd03049b[c0] <=> cpd00056[c0] + cpd00498[c0],,-1000.0,1000.0,
rxn03436,(S)-2-aceto-2-hydroxybutanoate reductoisomerase reaction 1,cpd00498[c0] <=> cpd10162[c0],,-1000.0,1000.0,
rxn03435,(S)-2-aceto-2-hydroxybutanoate reductoisomerase reaction 2,cpd00006[c0] + cpd02535[c0] <=> cpd00005[c0] + cpd00067[c0] + cpd10162[c0],,-1000.0,1000.0,
rxn03437,(R)-2 3-dihydroxy-3-methylpentanoate dehydratase,cpd02535[c0] --> cpd00001[c0] + cpd00508[c0],,0.0,1000.0,
rxn01575,Isoleucine aminotransferase,cpd00024[c0] + cpd00322[c0] <=> cpd00023[c0] + cpd00508[c0],,-1000.0,1000.0,
rxn02185,Acetolactate synthase,cpd00056[c0] + cpd00668[c0] <=> cpd00020[c0] + cpd03049b[c0],,-1000.0,1000.0,
rxn00011b,Acetolactone synthease   thiamine diphosphate acetaldehyde transferase,cpd00020[c0] + cpd00056[c0] + cpd00067[c0] --> cpd00011[c0] + cpd03049b[c0],,0.0,1000.0,
rxn02187,Acetolactate methylmutase,cpd00668[c0] <=> cpd02569[c0],,-1000.0,1000.0,
rxn03068,(R)-2 3-dihydroxy-3-methylbutanoate oxidoreductase,cpd00006[c0] + cpd02498[c0] <=> cpd00005[c0] + cpd00067[c0] + cpd02569[c0],,-1000.0,1000.0,
rxn00898,2 3 Dihydroxy 3 methylbutanoate hydro lyase c0,cpd02498[c0] --> cpd00001[c0] + cpd00123[c0],,0.0,1000.0,
rxn00903,Valine aminotransferase,cpd00024[c0] + cpd00156[c0] <=> cpd00023[c0] + cpd00123[c0],,-1000.0,1000.0,
rxn00902,2-isopropylmalate synthase,cpd00001[c0] + cpd00022[c0] + cpd00123[c0] --> cpd00010[c0] + cpd00067[c0] + cpd01646[c0],,0.0,1000.0,
rxn02789,2-isopropylmalate isomerase,cpd01646[c0] <=> cpd00001[c0] + cpd01710[c0],,-1000.0,1000.0,
rxn02811,3-isopropylmalate hydrolyase,cpd02693[c0] <=> cpd00001[c0] + cpd01710[c0],,-1000.0,1000.0,
rxn03062,3-isopropylmalate dehydrogenase,cpd00003[c0] + cpd02693[c0] <=> cpd00004[c0] + cpd00067[c0] + cpd02605[c0],,-1000.0,1000.0,
rxn01208,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,cpd00067[c0] + cpd02605[c0] --> cpd00011[c0] + cpd00200[c0],,0.0,1000.0,
rxn00806,Leucine aminotransferase,cpd00024[c0] + cpd00107[c0] <=> cpd00023[c0] + cpd00200[c0],,-1000.0,1000.0,
rxn06300,L-Alanyl-tRNA(Ala) synthetase,cpd00002[c0] + cpd00035[c0] + cpd11906[c0] --> cpd00012[c0] + cpd00018[c0] + cpd11770[c0],,0.0,1000.0,
rxn06432,L-Arginyl-tRNA(Arg) synthetase,cpd00002[c0] + cpd00051[c0] + cpd11907[c0] --> cpd00012[c0] + cpd00018[c0] + cpd12036[c0],,0.0,1000.0,
rxn06936,L-Aspartyl-tRNA(Asp) synthetase,cpd00002[c0] + cpd00041[c0] + cpd11909[c0] --> cpd00012[c0] + cpd00018[c0] + cpd12226[c0],,0.0,1000.0,
rxn06433,L-Aspartyl-tRNA(Asn) synthetase,cpd00002[c0] + cpd00041[c0] + cpd11908[c0] --> cpd00012[c0] + cpd00018[c0] + cpd12829[c0],,0.0,1000.0,
rxn11595,L-Aspartyl-tRNA(Asn) amidotransferase,cpd00001[c0] + cpd00002[c0] + cpd00053[c0] + cpd12829[c0] --> cpd00008[c0] + cpd00009[c0] + cpd00023[c0] + cpd00067[c0] + cpd12313[c0],,0.0,1000.0,
rxn06435,L-Cysteinyl-tRNA(Cys) synthetase,cpd00002[c0] + cpd00084[c0] + cpd11910[c0] --> cpd00012[c0] + cpd00018[c0] + cpd12255[c0],,0.0,1000.0,
rxn06436,L-Glutamyl-tRNA(Gln) synthetase,cpd00002[c0] + cpd00023[c0] + cpd11911[c0] --> cpd00012[c0] + cpd00018[c0] + cpd12828[c0],,0.0,1000.0,
rxn10534,L-Glutamyl-tRNA(Gln) amidotransferase,cpd00001[c0] + cpd00002[c0] + cpd00053[c0] + cpd12828[c0] --> cpd00008[c0] + cpd00009[c0] + cpd00023[c0] + cpd00067[c0] + cpd12060[c0],,0.0,1000.0,
rxn06438,L-Glycyl-tRNA(Gly) synthetase,cpd00002[c0] + cpd00033[c0] + cpd11913[c0] --> cpd00012[c0] + cpd00018[c0] + cpd12100[c0],,0.0,1000.0,
rxn06440,L-Isoleucyl:tRNA(Ile) synthetase,cpd00002[c0] + cpd00322[c0] + cpd11915[c0] --> cpd00012[c0] + cpd00018[c0] + cpd12256[c0],,0.0,1000.0,
rxn06441,L-Leucyl-tRNA(Leu) synthetase,cpd00002[c0] + cpd00107[c0] + cpd11916[c0] --> cpd00012[c0] + cpd00018[c0] + cpd12003[c0],,0.0,1000.0,
rxn06442,L-Lysyl-tRNA(Lys) synthetase,cpd00002[c0] + cpd00039[c0] + cpd11917[c0] --> cpd00012[c0] + cpd00018[c0] + cpd01326[c0],,0.0,1000.0,
rxn06443,L-Methionyl-tRNA(Met) synthetase,cpd00002[c0] + cpd00060[c0] + cpd11918[c0] --> cpd00012[c0] + cpd00018[c0] + cpd12105[c0],,0.0,1000.0,
rxn06538,L-Methionyl-tRNA formyltransferase,cpd00201[c0] + cpd12105[c0] --> cpd00067[c0] + cpd00087[c0] + cpd12285[c0],,0.0,1000.0,
rxn06444,L-Phenylalanyl-tRNA(Phe) synthetase,cpd00002[c0] + cpd00066[c0] + cpd11919[c0] --> cpd00012[c0] + cpd00018[c0] + cpd12335[c0],,0.0,1000.0,
rxn06445,L-Prolyl-tRNA(Pro) synthetase,cpd00002[c0] + cpd00129[c0] + cpd11920[c0] --> cpd00012[c0] + cpd00018[c0] + cpd12164[c0],,0.0,1000.0,
rxn06446,L-Seryl-tRNA(Ser) synthetase,cpd00002[c0] + cpd00054[c0] + cpd11921[c0] --> cpd00012[c0] + cpd00018[c0] + cpd12132[c0],,0.0,1000.0,
rxn06447,L-Threonyl-tRNA(Thr) synthetase,cpd00002[c0] + cpd00161[c0] + cpd11922[c0] --> cpd00012[c0] + cpd00018[c0] + cpd12229[c0],,0.0,1000.0,
rxn06448,L-Tryptophanyl-tRNA(Trp) synthetase,cpd00002[c0] + cpd00065[c0] + cpd11923[c0] --> cpd00012[c0] + cpd00018[c0] + cpd12336[c0],,0.0,1000.0,
rxn06280,L-Tyrosyl-tRNA(Tyr) synthetase,cpd00002[c0] + cpd00069[c0] + cpd11751[c0] --> cpd00012[c0] + cpd00018[c0] + cpd12194[c0],,0.0,1000.0,
rxn06449,L-Valyl-tRNA(Val) synthetase,cpd00002[c0] + cpd00156[c0] + cpd11924[c0] --> cpd00012[c0] + cpd00018[c0] + cpd12133[c0],,0.0,1000.0,
rxn06937,L-Glutamyl-tRNA(Glu) synthetase,cpd00002[c0] + cpd00023[c0] + cpd11912[c0] --> cpd00012[c0] + cpd00018[c0] + cpd12227[c0],,0.0,1000.0,
rxn06439,L-Histidyl-tRNA(His) synthetase,cpd00002[c0] + cpd00119[c0] + cpd11914[c0] --> cpd00012[c0] + cpd00018[c0] + cpd12228[c0],,0.0,1000.0,
