condition	reaction_id	flux	reduced_cost	reaction_name
nodule	rxn01018	0.0	0.0	Aspartate carbamoyltransferase
nodule	rxn01465	0.0	-0.0	Dihydroorotase
nodule	rxn01360	0.0	0.0	Dihydroorotate dehydrogenase
nodule	rxn01362	0.0	0.0	Orotate phosphoribosyltransferase
nodule	rxn00710	0.0	0.0	Orotidine 51-phosphate decarboxylase
nodule	rxn00119	0.0	0.0	Uridylate kinase: UMP
nodule	rxn00117	0.0	0.0	Nucleoside diphosphate kinase: UDP
nodule	rxn00412	0.0	0.0	CTP synthetase
nodule	rxn00409	0.0	0.0	Nucleoside diphosphate kinase: CDP
nodule	rxn06076	0.0	0.0	Ribonucleotide reductase: CDP
nodule	rxn01673	0.0	0.0	Nucleoside diphosphate kinase: dCDP
nodule	rxn01672	0.0	0.0	dCTP aminohydrolase
nodule	rxn01678	0.0	0.0	Nucleoside diphosphate kinase: dUDP
nodule	rxn01517	0.0	0.0	Uridylate kinase: dUMP
nodule	rxn01520	0.0	0.0	Thymidylate synthase
nodule	rxn01513	0.0	0.0	Thymidylate kinase: dTMP
nodule	rxn01512	0.0	0.0	Nucleoside diphosphate kinase: dTDP
nodule	rxn00364	0.0	0.0	Cytidylate kinase - CMP
nodule	rxn05294	0.0	0.0	DNA synthesis and partitioning
nodule	rxn13784	0.0	0.0	RNA transcription c0
nodule	rxn00792	0.0	-0.0	Biotin:CoA ligase
nodule	rxn06864	0.0	0.0	Biotinyl-5'-AMP:apo-[carboxylase] ligase (AMP-forming)
nodule	rxn06672	0.0	-0.0	acetyl-CoA carboxylase / biotin carboxylase reaction 1
nodule	rxn06673	0.0	0.0	acetyl-CoA carboxylase / biotin carboxylase reaction 2
nodule	rxn05465	0.0	0.0	malonyl-ACP:[acyl-carrier-protein] transferase
nodule	rxn08766	0.0	0.0	Acetoacetyl-ACP synthase
nodule	rxn05339	0.0	-0.0	Acetoacetyl-ACP dehydrogenase
nodule	rxn05329	0.0	0.0	(R)-3-hydroxy-butanoyl-ACP dehydratase
nodule	rxn05322	0.0	0.0	But-2-enoyl-ACP reductase
nodule	rxn05346	0.0	0.0	3-oxohexanoyl-ACP synthase
nodule	rxn05337	0.0	-0.0	3-oxohexanoyl-ACP dehydrogenase
nodule	rxn05330	0.0	0.0	(R)-3-hydroxy-hexanoyl-ACP dehydratase
nodule	rxn05326	0.0	0.0	trans-Hex-2-enoyl-ACP reductase
nodule	rxn05350	0.0	0.0	3-oxooctanoyl-ACP synthase
nodule	rxn05341	0.0	-0.0	3-oxooctanoyl-ACP dehydrogenase
nodule	rxn05334	0.0	0.0	(R)-3-hydroxy-octanoyl-ACP dehydratase
nodule	rxn05325	0.0	0.0	trans-Oct-2-enoyl-ACP reductase
nodule	rxn05343	0.0	0.0	3-oxodecanoyl-ACP synthase
nodule	rxn05338	0.0	-0.0	3-oxydecanoyl-ACP dehydrogenase
nodule	rxn05333	0.0	0.0	(R)-3-hydroxy-decanoyl-ACP dehydratase
nodule	rxn05327	0.0	0.0	trans-Dec-2-enoyl-ACP reductase
nodule	rxn05348	0.0	0.0	3-oxo-dodecanoyl-ACP synthase
nodule	rxn05340	0.0	-0.0	3-oxo-dodecanoyl-ACP dehydrogenase
nodule	rxn05331	0.0	0.0	(R)-3-hydroxy-dodecanoyl-ACP dehydratase
nodule	rxn05324	0.0	0.0	trans-Dodec-2-enoyl-ACP reductase
nodule	rxn05345	0.0	0.0	3-oxo-tetradecanoyl-ACP synthase
nodule	rxn05342	0.0	-0.0	3-oxo-tetradecanoyl-ACP dehydrogenase
nodule	rxn05335	0.0	0.0	(R)-3-hydroxy-tetradecanoyl-ACP dehydratase
nodule	rxn05323	0.0	0.0	trans-Tetradec-2-enoyl-ACP reductase
nodule	rxn05344	0.0	0.0	3-oxohexadecanoyl-ACP synthase
nodule	rxn05336	0.0	-0.0	3-oxohexadecanoyl-ACP dehydrogenase
nodule	rxn05332	0.0	0.0	(R)-3-hydroxy-hexadecanoyl-ACP dehydratase
nodule	rxn05328	0.0	0.0	trans-Hexadec-2-enoyl-ACP reductase
nodule	rxn05460	0.0	0.0	3-oxooctadecanoyl-ACP synthase
nodule	rxn05461	0.0	0.0	3-oxooctadecanoyl-ACP dehydrogenase
nodule	rxn05462	0.0	0.0	(R)-3-hydroxy-octadecanoyl-ACP dehydratase
