condition	reaction_id	flux	reduced_cost
nodule_max_n2	rxnVLCFA38	0.0	0.0
nodule_max_n2	rxnVLCFA39	0.0	-0.0
nodule_max_n2	rxnVLCFA40	0.0	0.0
nodule_max_n2	rxnVLCFA41	0.0	0.0
nodule_max_n2	rxnVLCFA42	0.0	0.0
nodule_max_n2	rxnVLCFA43	0.0	-0.0
nodule_max_n2	rxnVLCFA44	0.0	0.0
nodule_max_n2	rxnVLCFA45	0.0	0.0
nodule_max_n2	rxnVLCFA46	0.0	0.0
nodule_max_n2	rxnVLCFA47	0.0	-0.0
nodule_max_n2	rxnVLCFA48	0.0	0.0
nodule_max_n2	rxnVLCFA49	0.0	0.0
nodule_max_n2	rxnVLCFA50	0.0	0.0
nodule_max_n2	rxnVLCFA51	0.0	-0.0
nodule_max_n2	rxn00612	0.0	0.0
nodule_max_n2	rxnPG1	0.0	0.0
nodule_max_n2	rxnPG2	0.0	0.0
nodule_max_n2	rxnPG3	0.0	0.0
nodule_max_n2	rxnPG4	0.0	0.0
nodule_max_n2	rxnPG5	0.0	0.0
nodule_max_n2	rxnPG6	0.0	0.0
nodule_max_n2	rxnPG7	0.0	0.0
nodule_max_n2	rxnPG8	0.0	0.0
nodule_max_n2	rxnPG9	0.0	0.0
nodule_max_n2	rxnPG10	0.0	0.0
nodule_max_n2	rxnPG11	0.0	0.0
nodule_max_n2	rxnPG12	0.0	0.0
nodule_max_n2	rxnPG13	1.0216542334443718e-15	0.0
nodule_max_n2	rxnPG14	1.0216542334443718e-15	0.0
nodule_max_n2	rxnPG15	3.064962700333117e-17	0.0
nodule_max_n2	rxnPG16	3.064962700333117e-17	0.0
nodule_max_n2	rxnPG17	0.0	0.0
nodule_max_n2	rxnPG18	0.0	0.0
nodule_max_n2	rxnPG19	1.0114376911099283e-16	0.0
nodule_max_n2	rxnPG20	1.0114376911099285e-16	0.0
nodule_max_n2	rxnPG21	0.0	0.0
nodule_max_n2	rxnPG22	0.0	0.0
nodule_max_n2	rxnPG23	0.0	0.0
nodule_max_n2	rxnPG24	0.0	0.0
nodule_max_n2	rxnPG25	0.0	0.0
nodule_max_n2	rxnPG26	0.0	0.0
nodule_max_n2	rxnPG27	0.0	0.0
nodule_max_n2	rxnPG28	0.0	0.0
nodule_max_n2	rxnPG34	0.0	0.0
